x
0.0665088
0.0125773
0.0402761
0.0335341
0.0554643
0.0156463
0.0682584
0.0178878
0.83303
0.807957
0.840705
0.848022
0.842826
0.868041
0.870947
0.906281
0.979043
0.961155
